#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
47      0.830  1.189 132.857  -46.166  -33.542   13.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
48      0.828  1.182 132.124  -58.166   24.458    2.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
49      0.828  1.182 132.077  -55.166   15.458   31.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
50      0.825  1.173 131.039   54.834  -16.542   32.913 -0.362  0.896 -0.258 -0.896 -0.258  0.362  0.258  0.362  0.896
51      0.825  1.172 130.928   49.834   27.458    3.913 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
52      0.824  1.170 130.747   45.834  -10.542   17.913  0.548 -0.184 -0.816 -0.548 -0.816 -0.184 -0.632  0.548 -0.548
53      0.824  1.169 130.684  -52.166   17.458   28.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
54      0.823  1.165 130.225  -43.166   35.458   25.913 -0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000  0.604
55      0.823  1.165 130.148  -49.166   25.458   10.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
56      0.820  1.158 129.405   14.834  -56.542   29.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
57      0.819  1.155 129.034   18.834  -57.542   19.913 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
58      0.819  1.153 128.903   46.834   35.458    8.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
59      0.814  1.137 127.101   13.834  -51.542   18.913 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
60      0.813  1.136 126.956   21.834   33.458  -23.087 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
61      0.810  1.127 125.991  -42.166  -37.542   23.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
62      0.808  1.122 125.347   45.834   41.458   18.913  0.258 -0.362  0.896 -0.362 -0.896 -0.258  0.896 -0.258 -0.362
63      0.808  1.120 125.167   42.834  -34.542   25.913  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
64      0.807  1.118 124.991   36.834   41.458    8.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
65      0.805  1.112 124.279  -21.166   35.458  -30.087 -0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000  0.604
66      0.802  1.105 123.496   39.834   44.458   15.913 -0.000  0.000 -1.000  0.000 -1.000 -0.000 -1.000  0.000 -0.000
67      0.800  1.098 122.652   -8.166  -55.542  -11.087 -0.816 -0.548 -0.184  0.184 -0.548  0.816 -0.548  0.632  0.548
68      0.800  1.097 122.650   12.834  -55.542   32.913 -1.000  0.000  0.000  0.000 -0.604  0.797  0.000  0.797  0.604
69      0.799  1.097 122.591  -57.166   20.458    2.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
