#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
202     0.737  0.943 105.391  -30.166  -35.542    5.913 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
203     0.737  0.943 105.382   13.834  -59.542   18.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
204     0.736  0.941 105.182  -46.166   19.458   38.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
205     0.735  0.940 105.094  -10.166   59.458   -0.087 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
206     0.735  0.940 105.082   40.834  -31.542   12.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
207     0.735  0.939 104.991   40.834   34.458   26.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
208     0.735  0.939 104.986   15.834  -55.542    9.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
209     0.735  0.939 104.949   37.834   33.458   20.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
210     0.735  0.939 104.909  -15.166   47.458   27.913  0.362  0.258 -0.896 -0.258 -0.896 -0.362 -0.896  0.362 -0.258
211     0.735  0.939 104.892    1.834   51.458   16.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
212     0.734  0.938 104.874   19.834   22.458  -23.087 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
213     0.734  0.938 104.831   -7.166   59.458    9.913  0.184  0.548 -0.816 -0.548 -0.632 -0.548 -0.816  0.548  0.184
214     0.734  0.938 104.784   41.834   36.458   13.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
215     0.734  0.937 104.748   55.834  -19.542   22.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
216     0.734  0.937 104.738   37.834   34.458   24.913  0.258 -0.362  0.896 -0.362 -0.896 -0.258  0.896 -0.258 -0.362
217     0.734  0.936 104.644   44.834   26.458   23.913  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
218     0.733  0.936 104.617  -52.166  -21.542  -10.087 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
219     0.733  0.936 104.595  -49.166  -36.542    3.913 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
220     0.733  0.936 104.580  -15.166  -17.542   -8.087 -0.896  0.362  0.258  0.362  0.258  0.896  0.258  0.896 -0.362
221     0.733  0.936 104.556   25.834    5.458  -16.087 -0.816 -0.548  0.184  0.184 -0.548 -0.816  0.548 -0.632  0.548
222     0.733  0.935 104.475  -43.166   18.458   28.913 -0.548 -0.184  0.816  0.548 -0.816  0.184  0.632  0.548  0.548
223     0.733  0.935 104.465   17.834  -45.542   13.913  0.362 -0.258 -0.896  0.258 -0.896  0.362 -0.896 -0.362 -0.258
224     0.733  0.934 104.414   13.834  -56.542   25.913 -0.816 -0.548  0.184 -0.184  0.548  0.816 -0.548  0.632 -0.548
225     0.733  0.934 104.399  -23.166  -17.542  -17.087 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
226     0.732  0.933 104.304   53.834  -23.542   21.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
227     0.732  0.932 104.184   16.834   31.458  -24.087 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
228     0.731  0.932 104.131   49.834   36.458   12.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
229     0.731  0.931 104.049   -6.166   58.458   16.913 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
230     0.731  0.931 104.044   38.834  -30.542   -3.087 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
231     0.731  0.930 103.950   56.834  -20.542    2.913 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
232     0.730  0.929 103.872   36.834   43.458   11.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
233     0.730  0.928 103.721   45.834  -19.542   26.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
234     0.729  0.928 103.658  -12.166   55.458   28.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
235     0.729  0.928 103.655   46.834  -32.542    6.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
236     0.729  0.927 103.645   49.834   30.458    7.913 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
237     0.729  0.927 103.617   13.834  -43.542   39.913 -0.896 -0.362 -0.258 -0.362  0.258  0.896 -0.258  0.896 -0.362
238     0.729  0.927 103.564   44.834   34.458   -3.087 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
239     0.729  0.926 103.475  -50.166  -30.542   -5.087 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
240     0.729  0.926 103.475  -48.166    9.458   28.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
241     0.729  0.926 103.458   28.834    1.458  -24.087 -0.816 -0.184 -0.548  0.548 -0.548 -0.632 -0.184 -0.816  0.548
242     0.728  0.925 103.376  -58.166   13.458    8.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
243     0.728  0.925 103.364   46.834  -29.542   -3.087 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
244     0.728  0.925 103.321   49.834   20.458   -3.087 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
245     0.728  0.924 103.288    0.834   52.458   33.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
246     0.728  0.924 103.277   38.834   42.458   16.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
247     0.728  0.924 103.209   54.834  -23.542    4.913 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
248     0.727  0.923 103.189   -8.166   64.458   12.913  0.000 -1.000 -0.000 -0.797  0.000 -0.604  0.604  0.000 -0.797
249     0.727  0.923 103.154  -52.166  -38.542   12.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
250     0.727  0.923 103.147    5.834  -58.542    4.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
251     0.727  0.922 103.078   46.834  -24.542   10.913 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
252     0.727  0.922 103.072   43.834   36.458   23.913  0.000 -0.000 -1.000  0.604 -0.797  0.000 -0.797 -0.604  0.000
253     0.726  0.921 102.956  -55.166   25.458   18.913 -0.797  0.000 -0.604  0.604  0.000 -0.797  0.000 -1.000  0.000
254     0.726  0.920 102.857   39.834   31.458   29.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
255     0.726  0.920 102.852   -7.166   60.458    3.913 -0.816  0.184  0.548 -0.548 -0.548 -0.632  0.184 -0.816  0.548
256     0.726  0.920 102.787   55.834  -27.542    8.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
257     0.726  0.920 102.782  -18.166   58.458   22.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
258     0.726  0.920 102.771   -6.166   55.458   10.913 -0.816 -0.184  0.548 -0.548  0.548 -0.632 -0.184 -0.816 -0.548
259     0.726  0.919 102.745   46.834   30.458    7.913 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
260     0.725  0.919 102.664   19.834   22.458  -21.087 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
261     0.725  0.919 102.660  -14.166  -25.542  -28.087 -0.896  0.258  0.362  0.258 -0.362  0.896  0.362  0.896  0.258
262     0.725  0.918 102.613   32.834   36.458   -5.087  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
263     0.725  0.918 102.604   52.834   20.458    6.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
264     0.725  0.918 102.537   47.834   18.458   -9.087 -0.896 -0.362 -0.258  0.362 -0.258 -0.896  0.258 -0.896  0.362
265     0.724  0.917 102.452   58.834  -24.542   17.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
266     0.724  0.916 102.413   15.834  -49.542   26.913  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
267     0.724  0.916 102.324   46.834   27.458   -1.087 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
268     0.724  0.916 102.320   54.834  -18.542   17.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
269     0.724  0.915 102.310   14.834  -50.542    4.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
270     0.723  0.915 102.245    9.834  -58.542   -0.087 -0.816 -0.548 -0.184  0.184 -0.548  0.816 -0.548  0.632  0.548
271     0.723  0.915 102.211  -45.166   30.458   17.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
272     0.723  0.915 102.209  -53.166   12.458    4.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
273     0.723  0.913 102.057  -56.166   10.458   15.913  0.184  0.548 -0.816 -0.548 -0.632 -0.548 -0.816  0.548  0.184
274     0.723  0.913 102.049  -20.166  -14.542  -19.087 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
275     0.723  0.913 102.045   -7.166   57.458    2.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
276     0.722  0.913 102.008   47.834   40.458   17.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
277     0.722  0.913 102.008   25.834  -14.542   35.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
278     0.722  0.913 102.002  -12.166   48.458   27.913 -0.184 -0.548  0.816 -0.548 -0.632 -0.548  0.816 -0.548 -0.184
279     0.722  0.912 101.973  -45.166  -37.542    4.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
280     0.722  0.912 101.968  -13.166   56.458   25.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
281     0.722  0.912 101.966  -52.166  -30.542    6.913  0.258 -0.362  0.896 -0.362 -0.896 -0.258  0.896 -0.258 -0.362
282     0.722  0.912 101.961    1.834  -56.542   -4.087 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
283     0.722  0.912 101.948   46.834   32.458   10.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
284     0.722  0.912 101.943   51.834  -14.542    2.913 -0.816 -0.548 -0.184  0.184 -0.548  0.816 -0.548  0.632  0.548
285     0.722  0.911 101.863   45.834   38.458   21.913  0.258 -0.362  0.896 -0.362 -0.896 -0.258  0.896 -0.258 -0.362
286     0.722  0.911 101.835   42.834   35.458   22.913  0.000 -0.000 -1.000  0.604 -0.797  0.000 -0.797 -0.604  0.000
287     0.722  0.911 101.833  -45.166  -27.542   -4.087 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
288     0.722  0.911 101.829  -37.166   32.458   -3.087 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
289     0.722  0.911 101.803  -43.166  -18.542   18.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
290     0.722  0.911 101.797   54.834  -11.542   24.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
291     0.721  0.911 101.768   57.834   38.458   13.913 -0.000  0.000 -1.000  0.000 -1.000 -0.000 -1.000  0.000 -0.000
292     0.721  0.910 101.752   50.834  -25.542    7.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
293     0.721  0.910 101.735  -56.166   23.458   12.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
294     0.721  0.910 101.683    0.834  -62.542    8.913 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
295     0.721  0.909 101.554  -55.166   22.458    6.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
296     0.720  0.909 101.546  -53.166   21.458   21.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
297     0.720  0.908 101.525   -2.166   59.458    6.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
298     0.720  0.908 101.508   41.834   29.458   24.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
299     0.720  0.908 101.485  -18.166  -22.542  -22.087 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
300     0.720  0.908 101.431  -58.166   21.458   17.913  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
301     0.720  0.907 101.372   52.834  -15.542   21.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
302     0.719  0.907 101.311   -4.166   62.458    8.913 -0.184 -0.816  0.548 -0.816 -0.184 -0.548  0.548 -0.548 -0.632
303     0.719  0.906 101.275   53.834  -15.542   27.913 -0.548 -0.632 -0.548 -0.816  0.548  0.184  0.184  0.548 -0.816
304     0.719  0.906 101.259  -12.166   56.458   24.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
305     0.719  0.906 101.227   53.834  -27.542    2.913 -0.816  0.184 -0.548 -0.548 -0.548  0.632 -0.184  0.816  0.548
306     0.719  0.906 101.216   -7.166   55.458   20.913 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
307     0.719  0.905 101.184  -15.166   52.458   23.913 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
308     0.719  0.905 101.126  -51.166   14.458   16.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
309     0.719  0.905 101.097  -44.166  -38.542    7.913  0.184  0.548  0.816 -0.548 -0.632  0.548  0.816 -0.548  0.184
310     0.718  0.904 100.998  -55.166   21.458   -1.087 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
311     0.718  0.903 100.953  -48.166   27.458   -1.087  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
312     0.718  0.903 100.938   -9.166   60.458   15.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
313     0.718  0.903 100.929   52.834  -17.542   24.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
314     0.718  0.903 100.927   37.834  -29.542    4.913 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
315     0.717  0.902 100.839   54.834  -19.542   13.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
316     0.717  0.902 100.822    5.834  -60.542   12.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
317     0.717  0.902 100.813    8.834  -58.542   -2.087 -0.896 -0.362 -0.258 -0.362  0.258  0.896 -0.258  0.896 -0.362
318     0.717  0.902 100.792   -7.166  -34.542   -4.087 -0.797 -0.604  0.000  0.000  0.000  1.000 -0.604  0.797  0.000
319     0.717  0.902 100.774  -45.166  -30.542    7.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
320     0.717  0.902 100.749   47.834   38.458   -1.087 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
321     0.717  0.901 100.716  -50.166   27.458   -4.087  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
322     0.717  0.901 100.715    1.834  -58.542    3.913  0.184 -0.548 -0.816  0.548 -0.632  0.548 -0.816 -0.548  0.184
323     0.717  0.901 100.700  -50.166  -35.542    5.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
324     0.717  0.901 100.689  -49.166  -32.542    5.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
325     0.717  0.900 100.630   -6.166   59.458    2.913 -0.816  0.184  0.548 -0.548 -0.548 -0.632  0.184 -0.816  0.548
326     0.716  0.900 100.613  -11.166   41.458    3.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
327     0.716  0.899 100.460  -22.166  -18.542  -18.087 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
328     0.716  0.899 100.448   -4.166   39.458   -4.087 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
329     0.716  0.899 100.438  -31.166    8.458  -11.087 -0.816  0.184  0.548 -0.548 -0.548 -0.632  0.184 -0.816  0.548
330     0.716  0.898 100.404   43.834   27.458   24.913  0.000  0.797 -0.604 -1.000  0.000  0.000 -0.000  0.604  0.797
331     0.716  0.898 100.402   36.834   35.458   12.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
332     0.715  0.898 100.359   43.834   35.458    8.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
333     0.715  0.898 100.355   33.834   30.458   27.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
334     0.715  0.898 100.305   14.834  -48.542   10.913 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
335     0.714  0.896 100.139   11.834  -61.542   12.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
336     0.714  0.896 100.119   39.834   27.458   -0.087 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
337     0.714  0.896 100.092   -3.166   39.458   30.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
338     0.714  0.895 100.065  -49.166  -38.542    9.913 -0.816  0.184  0.548  0.548  0.548  0.632 -0.184  0.816 -0.548
339     0.714  0.895 100.011   -8.166   51.458   -1.087 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
340     0.714  0.895 99.995  -45.166  -37.542    7.913 -0.896  0.362  0.258  0.362  0.258  0.896  0.258  0.896 -0.362
341     0.714  0.895 99.990  -48.166   19.458   -2.087  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
342     0.713  0.894 99.907  -11.166   50.458    7.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
343     0.713  0.894 99.888   14.834  -54.542   19.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
344     0.713  0.894 99.874  -48.166  -35.542    4.913 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
345     0.713  0.893 99.841    7.834  -57.542   16.913 -0.632  0.548  0.548  0.548 -0.184  0.816  0.548  0.816 -0.184
346     0.713  0.893 99.758  -54.166  -37.542   13.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
347     0.713  0.893 99.744    6.834  -62.542    9.913 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
348     0.713  0.892 99.740  -17.166   53.458   24.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
349     0.713  0.892 99.732   48.834  -25.542    2.913 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
350     0.712  0.892 99.684   45.834   37.458   11.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
351     0.712  0.892 99.681  -33.166  -28.542   -3.087  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
352     0.712  0.892 99.680  -56.166   24.458    6.913 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
353     0.712  0.892 99.680  -15.166  -10.542   35.913 -0.548  0.184  0.816 -0.548 -0.816 -0.184  0.632 -0.548  0.548
354     0.712  0.892 99.653  -12.166   57.458   18.913 -0.816 -0.184  0.548 -0.548  0.548 -0.632 -0.184 -0.816 -0.548
355     0.712  0.891 99.576   16.834  -57.542   22.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
356     0.712  0.891 99.575  -40.166   23.458   28.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
357     0.712  0.891 99.556   -5.166   48.458   28.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
358     0.712  0.891 99.519  -48.166  -30.542   -4.087 -0.000  0.000  1.000  0.000 -1.000  0.000  1.000  0.000 -0.000
359     0.712  0.890 99.509   21.834  -35.542  -31.087 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
360     0.712  0.890 99.489   33.834  -35.542    4.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
361     0.711  0.890 99.445   48.834   20.458   10.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
362     0.711  0.889 99.385   42.834  -31.542   18.913 -0.797 -0.604  0.000  0.000  0.000  1.000 -0.604  0.797  0.000
363     0.711  0.889 99.365   39.834   35.458   25.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
364     0.711  0.889 99.343   41.834   42.458   13.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
365     0.711  0.889 99.340   12.834  -40.542   20.913 -0.184 -0.816 -0.548 -0.816 -0.184  0.548 -0.548  0.548 -0.632
366     0.711  0.889 99.301    0.834  -53.542   32.913 -0.816  0.548 -0.184  0.184  0.548  0.816  0.548  0.632 -0.548
367     0.711  0.888 99.282   55.834  -19.542    1.913 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
368     0.711  0.888 99.279   48.834   19.458   11.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
369     0.710  0.888 99.247  -48.166  -24.542   -4.087 -0.797  0.000  0.604  0.604  0.000  0.797  0.000  1.000  0.000
370     0.710  0.888 99.244   29.834  -12.542  -20.087 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
371     0.710  0.887 99.168    7.834  -64.542   12.913  0.000  1.000 -0.000  0.797  0.000  0.604  0.604 -0.000 -0.797
372     0.710  0.887 99.150  -49.166  -37.542   19.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
373     0.710  0.887 99.150  -52.166  -39.542   13.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
374     0.710  0.887 99.135   41.834  -25.542   13.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
375     0.709  0.886 99.007   -0.166   53.458   31.913  0.184 -0.816 -0.548 -0.816  0.184 -0.548  0.548  0.548 -0.632
376     0.709  0.886 98.983  -54.166   19.458   14.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
377     0.709  0.886 98.973   55.834  -12.542   23.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
378     0.709  0.886 98.972    9.834  -54.542    8.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
379     0.709  0.885 98.955   44.834  -19.542   38.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
380     0.709  0.885 98.904   52.834  -14.542   27.913 -0.184  0.816  0.548  0.816 -0.184  0.548  0.548  0.548 -0.632
381     0.709  0.885 98.896  -41.166  -30.542    7.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
382     0.709  0.885 98.868   59.834  -26.542   12.913 -0.816 -0.184 -0.548 -0.548  0.548  0.632  0.184  0.816 -0.548
383     0.709  0.885 98.852   43.834   34.458   18.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
384     0.709  0.884 98.846   -7.166   58.458    4.913 -0.184 -0.816  0.548 -0.816 -0.184 -0.548  0.548 -0.548 -0.632
385     0.709  0.884 98.833   -6.166   61.458   10.913 -0.896  0.258  0.362 -0.258  0.362 -0.896 -0.362 -0.896 -0.258
386     0.709  0.884 98.830  -47.166  -35.542    2.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
387     0.709  0.884 98.813   -5.166   58.458    3.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
388     0.708  0.883 98.731   58.834  -13.542   21.913 -0.816  0.548 -0.184  0.184  0.548  0.816  0.548  0.632 -0.548
389     0.708  0.883 98.726   47.834   24.458   17.913 -0.548 -0.816 -0.184 -0.632  0.548 -0.548  0.548 -0.184 -0.816
390     0.708  0.883 98.711   -5.166   48.458   38.913 -1.000  0.000  0.000  0.000 -0.604 -0.797 -0.000 -0.797  0.604
391     0.708  0.883 98.672   52.834   35.458    9.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
392     0.708  0.883 98.647  -41.166   20.458   -7.087 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
393     0.708  0.882 98.605    1.834   22.458   33.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
394     0.707  0.882 98.525  -31.166  -33.542   39.913 -0.896  0.362  0.258  0.362  0.258  0.896  0.258  0.896 -0.362
395     0.707  0.881 98.419   39.834  -32.542   17.913  0.258 -0.362 -0.896 -0.362 -0.896  0.258 -0.896  0.258 -0.362
396     0.707  0.881 98.410   -7.166   59.458   16.913 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
397     0.707  0.880 98.385  -40.166  -45.542   16.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
398     0.707  0.880 98.372  -38.166  -43.542   10.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
399     0.706  0.880 98.296   42.834   43.458   16.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
400     0.706  0.879 98.246  -53.166  -39.542   12.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
401     0.706  0.879 98.237   -3.166   53.458   -3.087 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
402     0.706  0.879 98.202   48.834   25.458   -2.087 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
403     0.706  0.879 98.184   -5.166   52.458   13.913 -0.184 -0.548  0.816 -0.548 -0.632 -0.548  0.816 -0.548 -0.184
404     0.706  0.878 98.153   43.834   24.458    8.913 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
405     0.705  0.878 98.136  -46.166   24.458   23.913 -0.632  0.548  0.548 -0.548  0.184 -0.816 -0.548 -0.816  0.184
406     0.705  0.878 98.130  -47.166   23.458   -0.087  0.548 -0.184  0.816 -0.548 -0.816  0.184  0.632 -0.548 -0.548
